Market City1,Location #,Street Address: ,Market City,State,Zip: ,Tech: ,E-Mail
Owensboro,18617805,2946 Fairview Drive  Unit # 1054,Owensboro,KY,42303,Dan McCarty/Timothy Gibson,Daniel.McCarty@windstream.com & Timothy.Gibson@windstream.com
Paducah,18617805,2946 Fairview Drive  Unit # 1054,Owensboro,KY,42303,Dan McCarty/Timothy Gibson,Daniel.McCarty@windstream.com & Timothy.Gibson@windstream.com
Lexington ,18479098,130 W New Circle STE 180,Lexington ,KY ,40505,Jeff Hall/Tim Gipson,Jeff.Hall@windstream.com & Timothy.Gibson@windstream.com
Baton Rouge (currently ships to New Orleans),18545860,One Galleria Boulevard  Suite 815, Metairie,LA,70001,Reggie Robinson /Jeff Burns,Reginald.Robinson@windstream.com or WCI.Field.Ops.New.Orleans.CLEC.ALL@windstream.com
"Lafayette, LA",18609739,4957 Main Hwy,Saint Martinville ,LA,70582,Bryan Simon/Jeff Burns,Bryan.Simon@windstream.com
New Orleans (Metairie),18545860,One Galleria Boulevard  Suite 815,Metairie,LA,70001,Daniel Jeansonne Jr/Jeff Burns,WCI.Field.Ops.New.Orleans.CLEC.ALL@windstream.com
Andover (Ships to Westborough),18545868,2200 West Park Drive Suite 400,Westborough,MA,1581,Paul Doyle/Peter Scagnoli/Joe Centrella,WIN.New.England.CLEC.Field.Operations.Boston.Switch@windstream.com
Westborough/Boston * INSIDE DELIVERY REQUIRED ,18545868,2200 West Park Drive Suite 400,Westborough,MA,1581,Paul Doyle/Peter Scagnoli/Joe Centrella,WIN.New.England.CLEC.Field.Operations.Boston.Switch@windstream.com
Baltimore/Columbia *(all MD goes here unless order shows Philly Switch),18589727,"6940 Columbia Gateway Dr., Suite 100",Baltimore,MD,21046,Wayne LeBon/Peter Bouras,WCI.Columbia.Maryland.Switch@windstream.com
Farmington Hills,18594029,23629 Industrial Park Drive,Farmington Hills,MI,48335,Josh Jacobs/Frank Young/David Reisler,WCI.Farmington.Hills.Switch@windstream.com 
Flint,18545878,4074 S. Linden Rd,Flint,MI,48507,Ann Roland / Lee Pederson/David Reisler,WCI.Flint.Switch@windstream.com 
Grand Rapids,18594033,4748 E. Paris Ave SE,Grand Rapids,MI,49512,Mark Themm/Donald Jansen/David Reisler,Win.Grand.Rapids.Switch@windstream.com
Minneapolis,18545886,"215 4th St. South, Ste 900",Minneapolis,MN,55401,Dan Smestad/Matthew Hawkins/Bernard Conway,WCI.Minneapolis.Switch@windstream.com
Roseville (Ships to MINNEAPOLIS address located in Roseville,18545886,"215 4th St. South, Ste 900",Minneapolis,MN,55401,Jeff Troop,WCI.Minneapolis.Switch@windstream.com
Kansas City,,1201 Toost Ave,Kansas City,MO,64106,,
"Springfield, MO",18479113,1523 E Lark Street,Springfield,MO,65804,Cindy Ingalsbe/Eric Caldwell,WCI.Field.Ops.Springfield.MO.CLEC.All@windstream.com
St. Louis *,18479114,10405 Baur Boulevard  Suite C,Olivette ,MO,63132,David Warapius/Charles Castloo/Michael L Chapman,WCI.Field.Ops.St.Louis.CLEC.All@windstream.com
"Jackson, MS",18721247,125 S. Congress St.  Suite L-102,Jackson,MS,39201,William (Bill) Pullen or William (Chris) Bryant,Chris.Bryant@elnk.com or WCI.Field.Ops.CLEC.Gulf.Coast@windstream.com
Asheville,18479082,301 S. McDowell St Suite 208,Charlotte,NC,28204,Donald Sumrell JR,WCI.Field.Ops.CLEC.Charlotte@windstream.com
Charlotte ,18479082,301 S. McDowell St Suite 208,Charlotte,NC,28204,David L Smith,WCI.Field.Ops.CLEC.Charlotte@windstream.com
Greensboro,18479090,333 N Greene Street Suite 300,Greensboro,NC,27401,Sandra Woosely/George McDaniel,WCI.Field.Ops.CLEC.NC.East@windstream.com
Raleigh,18479111,4700 Falls of the Neuse Rd  STE 100 ,Raleigh,NC,27609,George McDaniel,WCI.Raleigh.Switch@windstream.com
Wilmington (Ships to Raleigh),18479111,4700 Falls of the Neuse Rd  STE 100 ,Raleigh,NC,27609,George McDaniel ,WCI.Raleigh.Switch@windstream.com
Fargo,18545900,2911 Fiechtner Drive,Fargo,ND,58103,Dean A Fairaizl,WCI.-.Fargo.Switch@windstream.com
"Omaha (also Council Bluff, IA)",18545903,1721 Saint Mary's Ave,Omaha,NE,68102,Jim Patterson,WCI.-.Omaha.Switch@windstream.com
Albuquerque,18545914,505 Marquette Ave NW 16th Floor Suite 1600,Albuquerque,NM,87102,Robert Martinez,WCI.-.Albuquerque.Switch@windstream.com
Las Vegas,18545915,Attn: Jimmy Fisher   5513 Dalle Valley St. North,Las Vegas,NV,89031,Jimmy Fisher,WCI.Las.Vegas.Switch@windstream.com
Albany,18545918,99 Washington Avenue Suite 202,Albany,NY,12210,Stan Franks/Paul Edward Leonard,wci.albany.switch.field.service
Buffalo,18728790,The Life Storage Unit 6N  8161 Main St.,Williamsville,NY,14221,Ronald Diehl,
"New York (NY2)*Newark, NY2 and NY3 use this location ",18633240,75 Broad Street   16th Floor Suite 1600,New York ,NY,10004,Angelo Gavinelli/John Heinsch,WCI.NYC&NWRKNJSwitches@windstream.com
Rochester,18545933,3500 Winton Place Suite 3,Rochester,NY,14623,Michael Border/Domenic Cocuzzi/Greg Utberg,WCI.Rochester.Switch.Field.Service@windstream.com
Akron,18479072,388 S Main Street Suite 203,AKRON,OH,44311,Kevin Martin/ Riccardo Montanari,Kevin.Martin@windstream.com & Riccardo.Montanari@windstream.com
Cincinnati,18478979,344 Gest Street,Cincinnati,OH,45203,Tom Young/Todd Hanseman/Riccardo Montanari,WCI.Field.Ops.CLEC.OH.Southern.OH.All@windstream.com
Cleveland,18545942,1625 Rockwell Ave Suite 101,Cleveland,OH,44114,Anne Slama/Riccardo Montanari,anne.slama@windstream.com or Win.Cleveland.Switch@windstream.com
Columbus (also handles Dayton and Cincinnati),18479085,226 N 5th St.  Suite 110 ,Columbus,OH,43215,Ross Jones/David Foley,Ross.Jones@windstream.com or David.Foley@windstream.com
Dayton,18616490,111 W 1st Street,Dayton,OH,45402,Riccardo Montanari,WCI.Field.Ops.CLEC.OH.Southern.OH.All@windstream.com
Oklahoma City,18479109,501 Couch Dr,Oklahoma City,OK,73102,Kyle Sloan/Jeff Ware/Freddy Martinez,WCI.Field.Ops.Oklahoma.City.CLEC.All@windstream.com
Tulsa (Broken Arrow uses this location),18479116,1437 S Boulder Avenue  Suite 130,Tulsa,OK,74119,Andrew Wood/Doug Toone/Billy Bob Breeden,WCI.Field.Ops.Tulsa.CLEC.All@windstream.com
Portland,18545958,926 NW 13th Ave  Suite 100,Portland,OR,97209,Klay Pierson,WCI - Portland Switch <WCI.-.Portland.Switch@windstream.com>
Philadelphia I & II,18590626,401 North Broad Street Suite 495,Philadelphia,PA,19108,"Michael Platchek, Eric NguyenDavid Thompson",WCI.New.England.CLEC.Field.operations.Philadelphia.BST.team@windstream.com
Pittsburgh,18589729,1500 Allegheny Center Mall  Suite 120,Pittsburgh,PA,15212,David Slover,WIN.Pittsburgh.Switch.OPS@windstream.com
Charleston,18545969,3820 Faber Place Dr Suite 800,Charleston,SC,29405,Jeff Toth ,WCI.Field.OpS.CLEC.Charleston@windstream.com
"Columbia,SC (also handles Cola,GA & Augusta, GA)",18721049,1401 Main St. Suite 1170,Columbia,SC,29201,Ralph McCaskill/Jeff Toth,WCI.Field.Ops.CLEC.Columbia.SC@windstream.com
Greenville ,18487107,5 Duncan St,Greenville,SC,29601,Jeffery Toth,WCI.Field.OP.CLEC.Greenville.SC@windstream.com
Savannah (Ships to Charleston),18545969,3820 Faber Place Dr Suite 800,Charleston,SC,29405,Jeff Toth ,WCI.Field.OpS.CLEC.Charleston@windstream.com
Sioux Falls ,18545971,5100 S Broadband Lane,Sioux Falls,SD,57108,Ed Anglin,WCI.-.Sioux.Falls.Switch@windstream.com
Chattanooga (SHIPPING TO NASHVILLE NOW),18479106,505 Fesslers Lane ,Nashville ,TN,37210,Ricky Toran/William Schmidt,WCI.Field.Ops.Nashville.CLEC.All@windstream.com
Knoxville *,18609743,800 S Gay St.  Suite P315,Knoxville,TN,37929,George Webber/William Schmidt,WCI.Field.Ops.Knoxville.CLEC.All@windstream.com
Memphis ,18545977,"6625 Lenox Park Suite 108 Bldg B, Suite 108",Memphis,TN,38115,Tom Rushing/William Schmidt,WCI.Field.Ops.Memphis.CLEC.All@windstream.com
Nashville Switch,18479106,505 Fesslers Lane ,Nashville ,TN,37210,Ricky Toran/William Schmidt,WCI.Field.Ops.Nashville.CLEC.All@windstream.com
Dallas,18606395,600 N. Pearl St  Suite S201,Dallas,TX,75201,Curtis Modrall/Freddy Martinez,WIN.Dallas.Switch@windstream.com
Houston (Houston Data Center uses this location also) ,18545991,12017 NORTH FREEWAY,Houston,TX,77060,Ricky Farler,Win.Houston.Switch@windstream.com
San Antonio (Austin uses this location also),18545998,106 S. St. Mary's   Suite 225,San Antonio,TX,78205,Carlos Chavez,WIN.San.Antonio_Austin.Switch@windstream.com
Salt Lake City (Temporarily ships to Cottonwood Heights),18618946,2755 E Cottonwood Pkwy  Suite 120,Cottonwood Heights,UT,84121,Lawrence P. Cervantes,WCI.-.Salt.Lake.City.Switch@windstream.com
Norfolk,18546006,1319 Ingleside Rd,Norfolk,VA,23502,James Paige,WCI-NORFOLK.SWITCH@windstream.com
Richmond,18546011,2134 West Laburnum Ave,Richmond,VA,23227,James Paige,WCI.Richmond.Switch@windstream.com
Sterling (DC 1 uses this site unless MD address given),18589728,"22685 Holiday Park Drive, Suite 20",Sterling,VA,20166,David Kesner,WCI.SterlingSwitch@windstream.com
Washington (DC Switch) ship to Sterling,18589728,"22685 Holiday Park Drive, Suite 20",Sterling,VA,20166,David Kesner,WCI.SterlingSwitch@windstream.com
Seattle/Tukwila,18546019,3311 South 120th Place Suite 110,Tukwila,WA,98168,Ed Bowley,WCI.-.Tukwila.Switch@windstream.com
Spokane ,18546018,627 E. Sprague Ave Suite D,Spokane,WA,99202,Toby Tobeck ,WCI.-.Spokane.Switch@windstream.com
Green Bay,18608337,314 North Danz Ave Suite B,Green Bay,WI,54301,Brian Lesperance/Robert Rosenthal,WIN.Green.Bay.Switch@windstream.com
Madison,18546021,1858 Wright Street ,Madison,WI,53704,Joe Holford,Win.Madison.Switch@windstream.com
Milwaukee,18546022,731 N. Jackson St. Suite 410,Milwaukee,WI,53202,Miguel Rivera/Lawrence Vernon,WIN.Milwaukee.Switch@windstream.com
